raceId,grid,positionOrder
926,11,13
927,6,7
928,13,17
929,15,18
930,6,11
931,9,18
932,19,15
933,7,8
934,13,16
936,9,4
937,18,8
938,20,12
939,8,8
940,17,9
941,9,10
942,8,4
943,8,9
944,9,9
945,11,16
948,5,10
949,10,6
950,9,8
951,9,19
952,4,1
953,0,18
954,5,4
955,9,8
956,8,2
957,3,2
958,4,5
959,4,3
960,2,11
961,7,7
962,4,6
963,3,2
964,3,2
965,4,20
966,3,4
967,4,3
968,6,4
969,5,5
970,16,3
971,6,18
972,7,5
973,5,19
974,4,5
975,5,18
976,5,18
977,5,20
978,4,4
979,5,5
980,5,19
981,13,10
982,2,19
983,3,1
984,4,2
985,16,4
986,2,1
987,4,5
988,6,5
989,4,6
990,15,19
991,5,5
992,5,16
993,5,3
994,20,9
995,3,3
996,4,2
997,4,1
998,5,15
999,4,4
1000,7,19
1001,7,3
1002,5,5
1003,2,2
1004,19,5
1005,3,3
1006,18,2
1007,2,1
1008,5,2
1009,6,3
1010,4,3
1011,5,4
1012,5,4
1013,4,4
1014,4,3
1015,3,4
1016,9,5
1017,4,4
1018,2,1
1019,4,5
1020,2,1
1021,1,2
1022,5,20
1023,19,8
1024,4,3
1025,9,4
1026,5,18
1027,4,6
1028,3,3
1029,1,1
1030,2,2
1031,2,20
1032,2,3
1033,7,2
1034,3,2
1035,4,1
1036,3,2
1037,3,3
1038,5,17
1039,3,19
1040,2,2
1041,3,2
1042,3,3
1043,3,17
1044,2,6
1045,3,2
1046,3,19
1047,1,1
1052,1,2
