geometry,category
POINT (67.82525 34.84694),Cultural
POINT (64.51605556 34.39655556),Cultural
POINT (20.13333333 40.06944444),Cultural
POINT (20.02611111 39.75111111),Cultural
POINT (4.78684 35.81844),Cultural
POINT (9 25.5),Mixed
POINT (3.68333 32.48333),Cultural
POINT (5.73667 36.32056),Cultural
POINT (2.383333333 36.55),Cultural
POINT (6.63333 35.45),Cultural
POINT (3.06028 36.78333),Cultural
POINT (1.595555556 42.49472222),Cultural
POINT (14.2497222222 -6.2688888889),Cultural
POINT (-61.7616666667 17.0069444444),Cultural
POINT (-73.24944000000001 -50),Natural
POINT (-54.13333333 -25.51805556),Natural
POINT (-70.66666667 -47.15),Cultural
POINT (-64 -42.5),Natural
POINT (-68 -30),Natural
POINT (-64.19110999999999 -31.42056),Cultural
POINT (-65.34886111 -23.19986111),Cultural
POINT (-71.8728 -42.8528),Natural
POINT (44.71028 41.095),Cultural
POINT (44.79667 40.15889),Cultural
POINT (44.29514 40.15931),Cultural
POINT (132.8333333 -12.83333333),Mixed
POINT (147.7 -18.28611111),Natural
POINT (151.215277778 -33.8566666667),Cultural
POINT (143 -34),Mixed
POINT (145.4166667 -41.58333333),Mixed
POINT (159.0883333 -31.56555556),Natural
POINT (150.05 -28.25),Natural
POINT (131 -25.33333333),Mixed
POINT (144.9666667 -15.65),Natural
POINT (73.5 -53.1),Natural
POINT (113.4361111 -25.48611111),Natural
POINT (158.8955556 -54.59472222),Natural
POINT (153.1333333 -25.21666667),Natural
POINT (138.7166667 -19.08333333),Natural
POINT (150 -33.7),Natural
POINT (128.5 -17.5),Natural
POINT (144.9702778 -37.80611111),Cultural
POINT (150.994444444 -33.3783333333),Cultural
POINT (113.810277778 -22.5625),Natural
POINT (13.04333333 47.80055556),Cultural
POINT (15.82797222 47.64877778),Cultural
POINT (16.31333333 48.18666667),Cultural
POINT (13.64638889 47.55944444),Cultural
POINT (15.3916666667 47.0741666667),Cultural
POINT (15.43416667 48.36444444),Cultural
POINT (16.38333333 48.21666667),Cultural
POINT (49.83333333 40.36666667),Cultural
POINT (49.375 40.125),Cultural
POINT (50.5272222222 26.23306),Cultural
POINT (50.61351 26.24128),Cultural
POINT (89.8 22.66667),Cultural
POINT (88.98333332999999 25.03333333),Cultural
POINT (89.18333 21.95),Natural
POINT (-59.6138888889 13.0966666667),Cultural
POINT (26.47272222 53.45108333),Cultural
POINT (26.69139 53.22278),Cultural
POINT (4.47375 51.03097222),Cultural
POINT (3.38926 50.60603),Cultural
POINT (4.13722 50.48111),Cultural
POINT (4.35242 50.84668),Cultural
POINT (3.22527 51.20891),Cultural
POINT (4.36223 50.82806),Cultural
POINT (3.97879 50.43077),Cultural
POINT (20.5055555556 19.055),Natural
POINT (-65.25917 -19.04306),Cultural
POINT (4.39778 51.21833),Cultural
POINT (4.4161111111 50.835),Cultural
POINT (3.8383333333 50.4352777778),Cultural
POINT (-87.05833333 16.75),Natural
POINT (1.983333333 7.183333333),Cultural
POINT (-65.75306 -19.58361),Cultural
POINT (-60.5 -16),Cultural
POINT (-68.67778 -16.55833333),Cultural
POINT (-63.81666667 -18.16666667),Cultural
POINT (-60.86667 -14.26667),Natural
POINT (17.81092 43.34812),Cultural
POINT (19.288025 43.7814444444),Cultural
POINT (-42.33333333 -8.416666666999999),Cultural
POINT (21.73333333 -18.75),Cultural
POINT (22.9 -19.2833333333),Natural
